Text,v3
"After a background check of your CV, you are hereby invited for an interview at one of the selected centers in Lagos on Friday 1st March 2019.
Venue: Number 2, Akin Osiyemi Street, First Bank Bus Stop, Opposite Sterling Bank, Allen Avenue, Ikeja Lagos.
Time: 10am
Kindly come with a printed copy of this invitation, your writing materials; a pen, notebook and a print out of your updated CV as you will not be allowed in without it.
Note that the invitation is a response to the application/CV you submitted which we are handling on behalf of our client and you can recourse to us if you did not apply for such position for us to manage your records properly.
Best Regards,
Uni Consult.
Note: You would meet with the Deputy Managing Director, Head of Human Resources of our client after the oral assessment for proper evaluation. ",spam
"Dear Applicant, Your application has been Reviewed and you have been fixed for an Oral Interview with the Human Resource Team. JOB POSITION: BUSINESS DEVELOPMENT OFFICER DATE :Friday 1st March 2019 TIME : 10am VENUE:No5, Surulere House, Along Industrial Road, End off Adeniyi Jones. Ikeja Lagos state. Come with an updated copy of your CV. Warm regards, Mrs Bella 08169294074 HR UNIT",spam
"BLUERIDGE GLOBAL <info.blueridgeglobal@gmail.com>
Feb 25 at 11:20 AM
Dear Applicant,
Congratulations! After careful consideration of your application, you stood out to us and you are hereby invited for a brief oral interview with our human resource team.
Kindly find details of the interview below:
Date:   Wednesday, 27th February 2019
Venue: Last Floor Surulere House, Fummec bus-stop, adjacent Standard Organization of Nigeria, End of Adeniyi Jones, Ogba, Lagos.
Time:   9:30a.m.
Note: Kindly CONFIRM your attendance, Dress cooperate and come along with the printed copy of this invitation and your updated resume
Regards,
Admin Joan
Office line- 08074557813",spam
"Dear Applicant,
Your application has been Reviewed and you have been fixed for an Oral Interview with the head of Human Resource
JOB POSITION: Administrative officer 
Dates: Monday,18th February, 2019 by 10:00am
Interview Venue: 5, Surulere House, Along Industrial Road, End off Adeniyi Jones. Ikeja 
Lagos state.
Come with an updated copy of your CV.
Please show your availability for the interview 
Warm regards,
HR Unit
Miss Adebayo
07087242450",spam
"Dear Applicant,
After a background check of your CV, you are hereby invited for an interview at one of the selected centres in Lagos on Tuesday 22nd January 2019.
Venue: Number 2, Akin Osiyemi street, First bank Bus-stop, opposite Sterling Bank, Allen Avenue, Ikeja Lagos
Time: 10am
Kindly come with a printed copy of this invitation, a pen and a print out of your updated CV as you will not be allowed in without it.
Note that the invitation is a response to the application/CV you submitted which we are handling on behalf of our client and you can recourse to us if you did not apply for such position for us to manage your record properly.
Best Regards,
Recruitment Team
Foreshore Consulting",spam
"Dear Applicant,
After a background check of your CV, you are hereby invited for an interview at one of the selected centres in Lagos on Tuesday 22nd January 2019.
Venue: Number 2, Akin Osiyemi street, First bank Bus-stop, opposite Sterling Bank, Allen Avenue, Ikeja Lagos
Time: 10am
Kindly come with a printed copy of this invitation, a pen and a print out of your updated CV as you will not be allowed in without it.
Note that the invitation is a response to the application/CV you submitted which we are handling on behalf of our client and you can recourse to us if you did not apply for such position for us to manage your record properly.
Best Regards,
Recruitment Team
Foreshore Consulting",spam
"GOF Autos Ltd has received and perused your application; you are hereby invited for an interview on Monday (21/1/19) by 10am at 26, Ayo Balogun street, green field estate, opic, isheri north estates. DIR: from Berger, alight at Fagbem filling station after opic event hall; you can also call 090-3017-5326 or 080-8014-3083 for direction NB. Come with a copy of your CV and you must be in LAGOS STATE.",spam
"You have been shortlisted for an interview at LibiShop Limited. Please make yourself available on Tuesday 15th Jan 2019 by 10.00AM at 320 Odunsanmi Street Off Wempco Road Ogba Lagos
Please confirm availability, Thanks
08110128588",spam
"Thank you for applying to become part of our workforce. Sequel to your recent application via our online advertorial page, we are pleased with your background.
In view of this you have been Shortlisted to attend our LEADERSHIP/BUSINESS ASSESSMENT and WORKSHOP for an INTERVIEW to be a Team/ Unit leader.
OVERVIEW OF CENTER FOR LEADERSHIP, ENTREPRENEURSHIP AND DEVELOPMENT INITIATIVE CFLEAD
Is the culmination of years of experience in the corporate and small business worlds, with a passion for raising businessmen and women.
Our priority is to assist individuals in having a befitting lifestyle, acquire their desire and live a healthy life, using capacity building as a critical tool.
VENUE: 13 Ajumobi Olorounje street, off acme road BESIDE FIRST BANK. Firstgate Bus-stop Agidingbi Ikeja.
DATE: Tuesday 15th January 2019
TIME: 9am prompt
NOTE:-  You are required to tender this invitation and passport photographs at the point of entrance for security purpose.
We are sorry for the short notice, however; it’s imperative to confirm your availability, do so by replying to this e-mail.
We look forward to seeing you.
DR BRUCE",spam
"Sequel to your response, you are invited for an interview for the position of MARKETING EXECUTIVE in STERLING HOMES LIMITED. Date: MONDAY 14th JANUARY, 2019, Time: 11am. Venue:  #Plot 2 , River Valley Estate, Ojodu Berger, Lagos, Nigeria.",spam
"ear Applicant,
After a background check of your CV, you are hereby invited for an interview at one of the selected centres in Lagos on Monday, 7th January , 2019. 
Venue: Number 2, Akin Osiyemi street, First Bank Bus Stop, Opposite Sterling Bank, Allen Avenue, Ikeja Lagos.
Time: 10am
Kindly come with a printed copy of this invitation, a pen and a print out of your updated CV as you will not be allowed in without it.
Note that the invitation is a response to the application/CV you submitted which we are handling on behalf of our client and you can recourse to us if you did not apply for such position for us to manage your records properly.
Best Regards,
Skyline Consulting 
NOTE: You will meet with the Deputy Managing Director, Head of Human Resource of our client after the oral assessment for proper evaluation.",spam
"Dear Applicant,
in further assessment of your Online application, you have been Successfully Scheduled for a SCREENING INTERVIEW EXERCISE at one of our centres.
DATE: FRIDAY 4th January, 2019.
TIME: 10 a.m prompt.
VENUE: Ground Floor, 2 Akin Osiyemi Street, Off Allen Ave Opposite Sterling Bank plc, Ikeja Lagos.
Successful Candidates are always better prepared than Unsuccessful ones. Therefore, to aid entry into the venue please ensure the following:
Come with an updated Resume/ Curriculum Vitae, two (2) Passport Photographs and a hard copy print out of this mail. This invitation is a response to the Application / Curriculum Vitae you submitted which we are handling on behalf of our clients. You can recourse to us if you did not apply for such position to enable us manage your records properly.
You will meet with the Deputy Managing Director, Head of Human Resource of our clients after the Oral assessments for proper evaluation.
Dress corporately and be sure to come early as lateness will not be ALLOWED.
Please note that the venue would be open to you 20 minutes before SCREENING time and you are expected to be seated 10 minutes before the exercise.
REGARDS,
RECRUIT TEAM.
PHILZYY CONSULTS",spam
"Here is Your to Invitation to meet the CEO/ GM GLOBAL, for an interview on Friday 28/12/18,by 8:00am.Office; No8, Bisi Ogabi Street Balogun Bus stop off Awolowo way Ikeji, Lagos. HR MRS OLAITAN",spam
"pls note that your application via jiji.ng was approved and you're required to present a hardcopy of your CV and a passport photograph for a Screening Interview with PSIS HR Board on 
THU 27/12/2018
Time: 9am
Address: L'Monarch Towers, 65 Opebi Road Opp Glass House by Salvation B/Stop, Ikeja,Lagos
Kindly note that lateness automatically disqualifies you
If you need help/directions call: 0701-061-6106/1039",spam
"Good day, Your application has been reviewed and you have been fixed for an oral interview by the Human Resource Manager. Job position: Graduate Trainee Date-Time: Friday 21st December 2018 by 10:00am Interview Venue: Surulere house, along industrial road. Ikeja lagos state. Warm regards, HR Unit 08126696580",spam
"You have been shortlisted for an interview at LibiShop Limited. Please make yourself available on Friday 7th December 2018 by 10.00AM at 320 Odunsanmi Street Off Wempco Road Ogba Lagos
Please confirm availability, Thanks
08060660979",spam
"HR HEAD INVITES YOU FOR A CHAT WITH BOARD OF DIRECTORS ON FRIDAY 30/11/18.9AM@1ST FLOOR 32 OLUFEMI RD,LAWANSON B/STOP SURULERE LAGOS.YDLG.SHOW TEXT TO SECURITY. Pls help me confirm if this is real got the message some hours ago. Thanks",spam
"Dear Applicant,
In line with your application for the position of CUSTOMER SERVICE OFFICER, You have been invited for an oral assessment at one of the selected centers in Lagos.
Date: Friday, November 30th 2018.
Time: 10:00am
Venue: 2 Akin Oshiyemi Street Opposite Sterling Bank By First Bank Bus Stop, Off Allen Avenue, Ikeja Lagos.
Kindly come with a printed copy of this invitation and your updated CV.
Note that the invitation is a response to the application you submitted which we are handling on behalf of our client and you can recourse to us if you did not apply for such position so we can manage our records properly.
Best regards,
RECRUITMENT TEAM,
Crownstar Consulting 
NOTE: You will meet with the Deputy Managing Director, Head of Human Resource of our client after the oral assessment for proper evaluation.

",spam
"You are invited for an INTERVIEW by the HRM (PAXY GLOBAL) on WED 28/11//2018 by 9am at 6 Remilekun Str, off Falolu Road by Akerele Road, Surulere, Lagos…",spam
"Prior to your previous application you are invited for an interview on Tuesday, Nov. 20th, 2018 by 9:00am at

 Richlife Commercial and Logistics Limited, 61, Idimu Rd, Beside Primal Tek Plaza, Mokola B/Stop by, Egbeda, 
Lagos. Pls come with your CV. 07037541388",spam
"Nexfrot group schedules you for an INTERVIEW on Friday 16/11/2018 by 9am at 6 Remilekun Str, Opp Agape Sec Sch off Falolu Road by Akerele Road, Surulere, Lagos.",spam
"You have been shortlisted for an interview at LibiShop Limited. Please make yourself available on Tuesday 13th November 2018 by 12.00AM at 320 Odunsanmi Street Off Wempco Road Ogba Lagos
Please confirm availability, Thanks
08060660979",spam
"Here's a other one, please help with it.
Dear Tosin Adenugba
Thank you for taking your time to apply for our advertised job online. You’re hereby scheduled for a job interview at our Office. Kindly find the details of the interview below:
Candidate Full Name: Tosin Adenugba.
Date: Thursday 8th November, 2018
Remuneration: Attractive Basic
Other Benefits: HMO, Pension & Other benefits
Time: 9:35 AM (Prompt)
Venue: The top floor, Voda Paint building Surulere Industry road, before Oando Filling Station Acme Junction, Adeniyi Jones street, Ogba, Ikeja, Lagos.
Contact Person: Recruitment Team
Please dress formally and come along with originals and copies of the following:
CV
Credentials (O’LEVEL, OND/HND/BSc.)
Birth Certificate/Declaration of Age
4.      NYSC Discharge Certificate

5.      A Valid ID e.g(Voters card, National ID, International Passport, Driver’s License, Lasra)
Recruitment Team.
+234 701 235 7703.
Mrs Eze.",spam
"Dear applicant
Congratulations.You have been shortlisted for an oral interview in one of our consulting firm as a customer service officer.Successful candidates are always better than unsuccessful ones.
To aid entry into the venue,printout this email
Your specific entry details are as below
Venue:End of Adeniyi jones,last floor University Press Building,Acme Ikeja.
10:00AM
9/11/2018
Note:Dress corporately and be sure to come early as lateness will not be welcomed,come with your Updated Cv,a passport photograph
Regards
Career Tips",spam
"Dear Peter,
Congratulations! 
You have been invited for an oral interview with our human resource team following your application with ELITE CONSULTS on Wednesday 7th of November, 2018 at one of the selected venues in Lagos.
Address: No 5, University Press House, surulere industrial road, by Oando filling station, adjacent Standard Organization of Nigeria (SON), end of Adeniyi Jones, Ogba, Lagos.
Time : 9:30am. 
Note : come along with a printed copy of this invitation and your updated curriculum vitae. 
Dress Corporately and ensure to come early as lateness will not be tolerated.
Regards,
Ms EVELYN Office-line: 07089450699



",spam
"Dear Candidate,
We were impressed by your background, skills, experience and have just
been recommended to have an aptitude and interview session with the
Human Capital Management team of DPP- Resources.
Date: THURSDAY 25 OCTOBER, 2018.
Time: 9 am prompt
Venue: Number 2, Akin Osiyemi street, Opposite Sterling bank/Canon, Mr
Biggs B/stop, Allen Avenue, Ikeja.
We look forward to meeting you and having a good working relationship
with you in our team.

",spam
"Dear Applicant
In line with your application for the position of a ""ACCOUNT OFFICER you have been invited for an oral interview section with the human resource unit at one of our selected centers in Lagos.
Date: Thursday, 18th October, 2018
Time: 9:am
Address: 5, Resource Press Building, Oando Filling Station B/Stop Opposite SBN End of Adeniyi Jones, Ogba Lagos.
Note that the invitation is a response to the application you submitted which we are handling on behalf of our client and you recourse to us if you did not apply for such position so we can manage our records properly.
Best Regards,
RECRUITMENT TEAM

",spam
"Dear Applicant,
In line with your application for the position of ""BUSINESS ANALYST"", you have been invited for an oral interview section with the human resource unit at one of our selected centers in Lagos.
Date: Thursday, 18th October, 2018
Time: 9:45am
Address:5,Jonax Building Before Oando Filling Station Acme Junction Opposite SBN At The End Of Adeniyi Jones Ogba,Lagos.
Note that the invitation is a response to the application you submitted which we are handling on behalf of our client and you can recourse to us if you did not apply for such position so we can manage our records properly.
Best Regards,
RECRUITMENT TEAM,
ORIENTAL GROUP
08030832748
Mrs.Kahley.",spam
"Dear Applicant,
 With Respect to your Cv received from our HRM PORTAL, We are impressed by your background.we are pleased to inform you that you are fit to work with us based on your work experience and the qualities you possess.
 We would like to invite you for a face to face interview at our office.
 During the interview, you will have the chance to learn more about the Organization, and to develop a deeper understanding of our company’s objectives.
 On our end, we want to understand your career goals and professional experience more so.
 Our office is located @ 6 deji Odunuga street,opposite kehinde odusote estate.Anthony village.Anthony bustop.Lagos.
 The date for the interview is Wednesday 28TH SEPTEMBER 2018. By 8:30am Kindly come along with an updated CV.
 If you have any questions before the interview. Contact- 08085190015 I look forward to meeting with you.
 All the best.
 LOLA.A. H
 HR ADMINISTRATOR
 WESTCORP SERVICES LTD.
",spam
"GMG NIG INVITES YOU FOR AN INTERVIEW WITH THE HR EXECUTIVES ON THURSDAY 27-09-2018 BY 8AM AT 8,BISI OGABI STR, BALOGUN B/STOP, IKEJA LAGOS. HR-MISS PRINCESS ",spam
"You are invited for an assessment by the Executives of BS Resources at 4,Alh Kareem St.Agidingbi,Ikeja,1st gate on Wed.26/9/18 by 8.30am.HR TERRY.08023805004.Please is this a real job company and what are they into?I got the above text inviting me for an interview tomorrow.",spam
"This is to notify you that your application has been Successfully Completed and Submitted by the NIGERIA NATIONAL PETROLEUM CORPORATION with Registration no**421004356118GL.
 Proceed to obtain your Applicant ID for the interview.
 Thank You.
 Call :-
 Adewunmi Olufemi.
 08119258255.
 For assistance/enquiries.",spam
"Interview for post of a For EFB INDUSTRIES LTD on Saturday 4th August at 9, Ojike crescent, Ohafia, Abia State",spam
"Good day,
 You are cordially invited for a written test at RiseUp College as follows: Date: Wednesday, 1st August, 2018
 Time: 11:00 am
 Venue: 5, Oriade Close, Water Bus Stop Ipaja Lagos Direction: From Iyana-Ipaja, take keke napep to gate along Ipaja road, stop at water bus stop. Walk down the road by the filling station and turn to the 4th turning by your right, then locate the above address.
 Come along with writing material, copy of your CV and a passport photograph Kindly acknowledge the receipt of this invitation by reply Best regards.
 Oluwatosin Akintan
 ",spam
"Hi,
 Congratulations!
 You have been selected for the next recruitment phase for Eclat Management Associate Program. Kindly avail yourself for an interview on Tuesday 31st July, 2018 at 09.00am Nigerian time.
 Venue: No 8 Sabiu Ajose Street, Off Bode Thomas, Surulere, Lagos. Or you can come in through Adeniran Ogunsanya, off Modupe Johnson Street by Skye Bank.
 Come prepared to take a project-based test, make a presentation, have a chat and discuss in fine detail your skills, competencies and experience within and outside the workplace.
 Kindly confirm receipt of this email and your attendance for the interview before close of business on Monday (30/07/2018).
 Ask to see Gbenga Johnson when you arrive.
 Thanks and see you Tuesday.
 Sincerely,
 HR Team",spam
"You are invited to partake in an interview session.
 HILLS CONSULT, is an outsourcing firm that handles human resource functions for Various organizations nationwide. As part of the selection process, you have been scheduled for an oral interview session as follows: Date: Monday, 30th July, 2018.
 Time: 9:30am
 Address: 5, Resource press building, beside soulmate industry adjacent to sanusi bus-stop, off adeniyi jones avenue, ogba, Lagos.
 Come along with a printed copy of your CV
 To a successful job interview you must be at your best Attitude, Tolerance and Patience.
 Best Regards;
 RICHARD DAVIS.
 ADMINISTRATIVE UNIT,
 HILLSCONSULT
 For inquiries:
 Tel: +234 (0) 909-220-2771",spam
"ou are invited to part take in an interview session.
 Mega Height Resources (Nig) is a recruitment firm that handles human resource functions for selected organizations. As part of selection process, you are invited for an oral interview session as follows: Date: Monday 30th July, 2018
 Time: 10:00am
 Address: Plot 5, university press building,surulere industrial road,adjacent to sanusi bus-stop, off adeniyi jones avenue, ogba. Lagos.
 Come along with a printed copy of your CV
 Best Regards,",spam
"Dear Applicant,
 Your application has been reviewed and you have been shortlisted for an oral interview with our human resource team on Wednesday 12th September 2018 at one of the selected venues in Lagos.
 Address: No 5 Resource Press House, by Oando filling station, adjacent Standard Organization of Nigeria (SON), end of Adeniyi Jones, Ogba,Lagos.
 Time : 9:30am.
 Note : come along with a printed copy of this invitation and a hard copy of your updated curriculum vitae.
 Dress Corporately and ensure to come early as lateness will not be welcome.
 Regards Ms Angela
 Office-line:
 08112229947.""",spam
"Hello Applicant,
 Due to your online application to M.H.S, you're invited to come over for an Interview session with the HR Dept on Monday 20/08/2018.
 Time: 9am.
 Address: 4b Toyin street, opposite Victory home school, before unity b/stop, Ikeja, Lagos.
 Do present a hard copy of your CV and ensure to be there on time.
 Help/Directives?
 Call the ADMGR: 0803-449-6175/M303
",spam
"Resource (RS) consulting Nig. LLC handles Recruitment/HR functions, offer manpower training and executive development.
 Your application has been reviewed and scheduled for interview session with the HRM as part of screening process, on Monday, 13th august, 2018 by 10:00am at Plot 5, Surulere house, along Surulere industrial road, university press building, adjacent to soulmate Nig. ogba. Ikeja, Lagos.
 Come along with an updated copy of your Resume
 This message is for Admission!!!
 Don’t come late!!!
 For inquiries:
 Admin Unit
 Official Email: kunle.adesina@rs-consulting.com.ng
 Office Line: +234 (0) 817 -714 - 2544
 ",spam
"Resource (RS) consulting Nig. LLC handles Recruitment/HR functions, offer manpower training and executive development.
 Your application has been reviewed and scheduled for interview session with the HRMas part of screening process, on Monday, 13th august, 2018 by 9:30am at Plot 5, Surulere house along Surulere industrial road, university press building, adjacent to soulmate Nig., before fumec junction, ogba. Ikeja, Lagos.
 Come along with an updated copy of your Resume
 This message is for Admission!!!
 Don’t come late!!!
 For inquiries:
 Admin Unit
 Kunle.adesina@rs-consulting.com.ng
 Tel: +234 (0) 817 -714 - 2544
 ",spam
"Dear Candidate
 Your application for ""customer service representative"" has been considered, and you have been given a chance to attend an interview.
 SHIELD PROTON takes in it most efficient and diversified service platform, powerd by ""INNOVATION"", TECHNICAL COMPETENCE and work ethic that is driven by a culture of continuous improvement in all the sector and within our state of operations.
 SHIELD PROTON operate in the following sectors * Recruiting staff outsourcing and selection *Training and Entrepreneurship
 * Call center management
 * Payroll administration
 * Management consulting
 * Oil and gas support services
 * Integrated cash management
 SHIELD PROTON also function through active fully owned sub service in Nigeria and West Africa.
 Your interview has been slated for
 Date: Friday 10th, August 2018
 Time: 9:30am
 Venue: 5, industrial road, mikano bus/stop. Admin building suite E, last floor, Adeniyi Jones/ Ogba Lagos.
 Note: Ensure that you come with your hard copy RESUME.
 REGARDS
 MR. PEDRO JOEL
 08031346130
 SHIELD PROTON....",spam
"Dear Applicant,
 Congratulations! Based on your application, you have been shortlisted for an oral interview with our human resources team on Wednesday 8th of August 2018 at one
 of the selected venues in Lagos.
 Address: No 5 Resource Press House, by Oando filling station, adjacent Standard Organization of Nigeria (SON), End of Adeniyi Jones Ogba Lagos
 Time : 9:30am.
 Note : come along with a printed copy of this invitation and your updated curriculum vitae.
 Dress Corporately and be ensure to come early as lateness will not be welcome.
 Regards Mr. Marvel
 Contact Us @ +2348163241327
 ",spam
"Dear Applicant,
 As a result of your application for the position of a ""Customer Service "".
 You have been invited to attend an interview with the head of human resource in one of our selected branches in Lagos.
 Date: Thursday 02/08/2018.
 Time: 10:00am.
 Address: House 5,Resource Building, Fumec Bus Stop Ogba Lagos.
 NB: Ensure you come along with the hard copy of your CV.
 Best Regards
 Miss Effiong
 08185312569
 ",spam
"Please is this legit
 INTERVIEW INVITE
 hr. ygsconsulting
 to me
 10 hours agoDetails
 DEAR ELIZABETH,
 Based on your application, you have been shortlisted for an oral interview with the Head of human resource(HRM) in our consulting and entrepreneurial firm.
 Time: 9:00am.
 Date: Wednesday 1/08/2018 Address: plot A, resource Press building,Sanusi bus stop,Adeniyi Jones, Ogba Road Lagos Come along with your CV
 Regards,
 Ololade Adeniyi
 Relationhip officer
 08115757035
 YGS Consult
 ",spam
"Dear Candidate,
 Cedex Consulting Nig. is outstanding when it comes to outsourcing for it clients. We also offer excellent ICT and Entrepreneurship services. As part of our screening and selection process, you have been scheduled for an Oral interview session with the HRM.
 Date: Thursday 02/08/2018
 Time: 9:30am
 Address:5 Resource Press Building by Fumec B/stop Opposite SBN end of Adeniyi Jones Ogba, Lagos Come with an updated hard copy of your CV Sincerely,
 Cedex Consult Nig.
 Admin Unit
 For inquiries:
 Email: cedexconsulting@aol.com
 Tel: +234(0)803-083-2748
 cedex consulting.
 cedexconsulting@aol.com
",spam
"After thorough preview of your details and your Curriculum vitae,considering the working experience, skills and attribute you encompassed, the Board of Directors of D, PEARL CONSULT NIGERIA LIMITED , invites you for an assessment.
 Date: Wednesday 1st August ,2018
 Time: 8am prompt
 Venue: 116 Akowonjo Road
 Jimoh Bus-top, Egbeda, Lagos.
 We apologize for the short notice, however it is important you confirm your availability to enable us make adequate preparations. Please kindly confirm your availability by replying this message as soon as possible.
 Kindly respond to the message
 For more information and directions call 080-6154-0600
 Thanks from the Management of D'PEARL CONSULT NIGERIA LIMITED. HR10016793/Abot ",spam
"You are hereby invited to come to our office on Monday, 30th of July 2018. Please come with your CV, two passports, valid means of ID Birth certificate, SSCE Result, OND/HND certificate Time: 9am
 Venue : 2C Gbagada Expressway Anthony Oke Bus Stop By Beko Ransome Kuti Park, Lagos. Kindly confirm your attendance.
 DataMaxFiles
 ",spam
"Dear. .....
 Your Application/CV Information matches the request of our clients, to this effect you are hereby invited for Oral & writing Assessment with our human resources Team on Friday 27th of July 2018 at one of the selected venues in Lagos. End of Adeniyi Jones 5, press building, fumec b/stop Ogba Lagos.
 Time : 9:30am.
 Note : come along with a printed copy of this invitation and your updated curriculum vitae.
 Dress Corporately and be ensure to come early as lateness will not be welcome.
 Regards miss .....
 Resource manager .
 Office-line: ...........﻿
 ",spam
"Dear [Name],
 Your application recieved from our online portal meets requirements.
 We are impressed by your background and we are pleased to inform you that you are fit to be a part of our workforce based on the work experience and the qualities you possess.
 We would like to invite you for a face to face work assessment at our office. During which you will have the chance to learn more about the Organization, and to develop a deeper understanding of our company’s objectives. On our end, we want to understand your career goals and professional experience more so.
 Our office is located at No 6, Deji Odunuga Street opposite Kehinde Odusote Estate, Anthony Village. Gbagada Lagos.
 The work assessment has been scheduled to hold by: WEDNESDAY 25th July 2018. By 8:30AM Kindly come along with an updated CV.
 If you have any questions before the work assessment, do contact08028332937
 Looking forward to seeing you.
 Best wishes.
 Your sitcode : 10617055
 Coach Audrey
 HR Dept
 WESTCORPServices Ltd",spam
"You are hereby invited for an interview on the 23rd of July (Monday) at Richlife Commercial and Logistics Ltd. 61, Mokola bus stop, idimu road, Egbeda",spam
"Based on referral,You are urgently considered for an interview to hold on SAT.21/7/18 by 10am at No.2,Sunday Street off Ikorodu road Palmgroove B/Stop Lagos.HOD",spam
"You are hereby invited for an interview tomorrow at StreSERT Services Limited, 2nd floor, 11 Maye Street Off Commercial Avenue, Sabo Yaba, Lagos. Please come with copy of your CV, One passport Photograph, Credentials and ensure you dress corporate. Regards!",spam
"Dear Candidate,
 Wealth Resource consulting Nig. Is outstanding when it comes to outsourcing for it clients. We also offer excellent ICT and Entrepreneurship services. As part of our screening and selection process, you have been scheduled for an Oral interview session with the HRM, slated for Thursday, July 26th, 2018 by 9:30am, at Plot 14, Block A, university press building, fumec bus-stop, Surulere industrial road, Ogba, Lagos.
 Come with an updated hard copy of your CV
 Sincerely,
 Wealth consulting Nig.
 Admin Unit
 For inquiries:.
 ",spam
"Dear Applicant,
 Congratulations! You have been shortlisted for an oral interview with our human resources team on Wednesday 25th of July 2018 at one of the selected venues in Lagos.
 Address: No 5 Press House, by fumec B/stop, End of Adeniyi Jones Ogba Lagos
 Time : 9:00am.
 Note : come along with a printed copy of this invitation and your updated curriculum vitae.
 Dress Corporately and be ensure to come early as lateness will not be welcome.
 Regards Mr. Marvel
 Global Hitech
 Contact Us @ +2348163241327.
 ",spam
"Base on referral,BLS urgently consider you for interview on Tue 24/7/18 by 9am @ 3rd floor,8 Thomas Salako Str, Ogba B/Stop,Ikeja Lag",spam
"Dear Applicant,
 In line with your application for the position of HUMAN RESOURCE OFFICER, You have been invited for an oral assessment at one of the selected centers in Lagos.
 Date: Tuesday, July 24th 2018
 Time: 10:00am
 Venue: Last floor Universal press building plot 5 funmec b/s Acme, Adeniyi Jones, Ikeja Lagos.
 Kindly come with a printed copy of this invitation and your updated CV.
 Note that the invitation is a response to the application you submitted which we are handling on behalf of our client and you can recourse to us if you did not apply for such position so we can manage our records properly.
 Best regards,
 RECRUITMENT TEAM,
 Phoenix Initiatives
 NOTE: You will meet with the Deputy Managing Director, Head of Human Resource of our client(IGNYTE INITIATIVES, website: www.ignyteinitiatives.com.ng) after the oral assessment for proper evaluation.
 ",spam
